005/002,CAJA 10 KGS. 31.0 X 25.0 X 11.0  23 ECT.,1
005/003,CAJA BARRA GRANDE,12.6
005/004,CAJA BLISTER,15.93
006/001,CAJA # 4 ESCAPE REDONDO 5 x 21,5.68
006/002,CAJA # 3 ESCAPE REDONDO 5 X 18,4.99
006/003,CAJA # 1 MASTER 20,1
006/004,CAJA # 2 ESCAPE DEP. 18 M-4,1
006/005,CAJA # 5 ESCAPE REDONDO 5 X 23,6.33
006/006,CAJA # 6 SILENCIADOR OVALADO 5 X 9 X 18,6.96
006/007,CAJA # 7 SILENCIADOR OVALADO 5 X 9 X 20,8.8
006/008,CAJA # 8 SILENCIADOR OVALADO 5 X 9 X 29,9.53
006/009,CAJA # 9 ESCAPE 3 X 26,4.62
006/010,CAJA # 10 ESCAPE DEPORTIVO 4 X 4 X 18 PUNTA AMARILLA,4.25
006/011,CAJA # 11 ESCAPE BALA 10.5 x 10.5 x 41.5 23 ECT,4.18
006/012,CAJA # 12 ESCAPE CRUZ,4.6
006/013,CAJA #4 ESCAPE REDONDO 5 X 21,7.56
006/014,CAJA # 13 SILENCIADOR BALA MOTO,4.46
006/015,CAJA 016,6.52
006/016,CAJA #17 SILENCIADOR 9X4,5.28
006/017,CAJA #18 ESCAPE 3 X 30,4.9
007/001,CAJA CHANCLETA CARIBE 12 PARES 66.0 x 28.0 x 29.0  23 ECT C/S,1
007/002,CAJA CHANCLETA CARIBE 18 PARES 66.0 x 41.0 x 29.0  23 ECT C/S,1
007/003,CAJA CHANCLETA CARIBE 24 PARES 66.0 X 54.0 X 29.0  23  ECT.,34.2
008/001,CAJA COLECTIVA 24 PARES 38.5 x 38.0 x 56.3 CON DIVISION Y SEPARADOR,24.73
008/002,CAJA COLECTIVA 12 PARES CHICA 32.8 x 27.6 x 39.0 23 ECT.,12.22
008/003,CAJA COLECTIVA 32 PARES COPPEL GRANDE 52.2 x 42.5 x 57.5 23 ECT.,27.07
008/004,CAJA 3 PARES DAMA NUEVO (ANDALE) 28.5 x 16.0 x 14.0 S/G.,4.2
008/006,CAJA CABALLERO NUEVA 6 PARES  (RETRO ANDALE) 29.5 x 29.5 x 22.1 23 ECT.,8.79
008/007,CAJA HUEVERA  60.0 x 30.0 x 33.0  23 ECT,17.48
008/008,CAJA HUEVERA 60.0 x 30.0 x 33.0  S/G,16.24
008/010,CAJA EMPAQUE CASINO 45.0 x 30.0 x 30.0  23 ECT,13.83
008/011,CAJA EMP. CARICIAS 12 PRS. 61.0 x 31.0 x 30.0  23 ECT.,17.78
008/012,CAJA EMP. CARICIAS 18 PRS. GRANDE 69.0 x 48.0 x 30.0  23 ECT.,23.66
008/013,CAJA EMPAQUE CARICIAS 24 PARES 72.0 x 63.0 x 30.0 23 ECT,39.67
008/014,CAJA EMP. 2 CALZADO MAN. MEX. 55.5 x 51.0 x 30.0 23 ECT,27.07
008/015,CAJA EMPAQUE MATISSE 37.0 x 33.5 x 31.5 42 ECT D/C IMP. SELLO,25.27
008/016,CAJA RONY 10 PARES  57.0 x 44.2 x 32.0 23 ECT,24.26
008/017,CAJA RONY 12 PARES 68.5 x 44.2 x 32.0 23 ECT.,26.93
008/025,CAJA EMPAQUE BACK BLACK BAEZ 6 PRS.  67.0 x 23.0 x 32.0  23 ECT,15.1
008/026,CAJA EMPAQUE BACK BLACK BAEZ 12 PRS  67.0 x 46.0 x 32.0  23 ECT,32.25
008/027,CAJA EMPAQUE BACK BLACK BAEZ 18 PRS  69.0 x 67.0 x 32.0  23 ECT,43.34
